,year,term,country,c_all,c_within_3days,c_4to6days,c_7to13days,c_14to20days,c_21to27days,c_28to90days,c_91days_to_1year,c_male_all,c_male10s,c_male20s,c_male30s,c_male40s,c_male50s,c_male60s,c_male_over70,c_female_all,c_female10s,c_female20s,c_female30s,c_female40s,c_female50s,c_female60s,c_female_over70,c_japan_first,c_japan_second,c_japan_third,c_japan_fourth,c_japan_fifth,c_japan_sixth_to_ninth,c_japan_10_to_19,c_japan_over20,c_japan_zenkai_hajimete,c_japan_zenkai_ari,c_japan_zenkai_1year,c_japan_zenkai_3year,c_japan_zenkai_5year,c_japan_zenkai_10year,c_japan_zenkai_over10year,c_japan_pastyear_0,c_japan_pastyear_1,c_japan_pastyear_2,c_japan_pastyear_3to5,c_japan_pastyear_6to9,c_japan_pastyear_over10,c_single,c_partner,c_family,c_colleague,c_friend,c_doukou_other,c_hotel,c_ryokan,c_condo,c_ryo,c_friend_house,c_hostel,c_capsule,c_yuryo,c_stay_other,c_no_stay,c_tour,c_package,c_own,c_store,c_web,c_phone,c_income_500,c_income_1000,c_income_2000,c_income_3000,c_income_over3000,c_income_unknown,c_fsa,c_lcc,c_ship,a_all,a_within_3days,a_4to6days,a_7to13days,a_14to20days,a_21to27days,a_28to90days,a_91days_to_1year,a_male_all,a_male10s,a_male20s,a_male30s,a_male40s,a_male50s,a_male60s,a_male_over70,a_female_all,a_female10s,a_female20s,a_female30s,a_female40s,a_female50s,a_female60s,a_female_over70,a_japan_first,a_japan_second,a_japan_third,a_japan_fourth,a_japan_fifth,a_japan_sixth_to_ninth,a_japan_10_to_19,a_japan_over20,a_japan_zenkai_hajimete,a_japan_zenkai_ari,a_japan_zenkai_1year,a_japan_zenkai_3year,a_japan_zenkai_5year,a_japan_zenkai_10year,a_japan_zenkai_over10year,a_japan_pastyear_0,a_japan_pastyear_1,a_japan_pastyear_2,a_japan_pastyear_3to5,a_japan_pastyear_6to9,a_japan_pastyear_over10,a_single,a_partner,a_family,a_colleague,a_friend,a_doukou_other,a_hotel,a_ryokan,a_condo,a_ryo,a_friend_house,a_hostel,a_capsule,a_yuryo,a_stay_other,a_no_stay,a_tour,a_package,a_own,a_store,a_web,a_phone,a_income_500,a_income_1000,a_income_2000,a_income_3000,a_income_over3000,a_income_unknown,a_fsa,a_lcc,a_ship
0,2018,1,South Korea,65743.1824,43810.0446,67354.6722,138675.0919,125029.7284,,48875.0,,66923.6275,46798.3857,69678.2994,82623.8613,59129.5756,48788.6406,61994.3965,44980.2895,64562.1042,53626.8936,63569.5358,79610.2896,64128.2297,58842.7627,56585.6518,10839.9718,59832.1304,63142.9799,65229.4002,81336.6653,60517.3805,82498.7478,88781.367,69209.7431,59832.1304,69813.3506,72173.4845,69299.5321,69890.0823,50481.6285,62170.0069,62512.1408,67513.3856,74381.5836,81215.4593,61515.5986,119558.6358,93127.3166,66306.1504,54305.4049,61214.071,69628.9209,64055.5416,65980.9376,61294.6679,,27822.4345,56353.5939,63757.1892,51219.2741,76653.8604,60097.9978,11786.2787,27609.3931,40335.9669,72067.6954,57076.8428,67435.0181,27595.2693,103354.4707,64399.8602,55221.2428,46660.9661,63022.816,63239.8003,69052.9413,66863.3877,31163.0632,733,210,480,40,2,0,1,0,362,33,173,64,49,30,9,4,371,22,191,66,44,32,11,5,282,142,107,59,41,45,37,20,282,451,266,123,26,24,12,467,132,79,43,8,4,73,71,268,16,302,3,519,120,0,2,15,95,4,97,8,13,98,46,589,100,620,13,54,43,19,5,2,610,206,432,95
1,2018,1,Taiwan,104709.0598,66532.1119,82035.3913,152686.379,477710.7393,250000.0,311753.712,,115652.9068,104706.7893,99502.7998,133361.8616,118097.5766,100059.6545,89756.5784,54280.0374,96155.084,187451.8073,85467.4352,99105.6279,81277.8477,99521.8313,139961.4457,,87379.4369,92642.9291,102418.8006,112089.9307,99350.5722,102469.9881,112695.6373,156565.0696,87379.4369,108086.7068,119154.2472,86219.0502,96409.2545,99760.4886,101562.2309,89095.078,111012.5513,122890.0262,124701.3352,153293.8128,171500.0,187501.0816,114401.5926,79998.4578,70906.5533,126382.1104,128276.1421,102860.5291,96671.8415,189745.6667,,166033.4507,96479.3017,82200.0,158669.096,168750.5774,,63477.6942,85873.4285,133996.1198,71349.3627,119984.0969,100038.3626,123761.0156,126638.0617,216969.817,165187.864,144088.1734,96551.5872,104933.2478,104237.4289,,580,13,430,123,7,1,6,0,252,10,61,89,49,28,12,3,328,12,81,113,72,35,15,0,92,84,71,65,52,92,83,41,92,488,302,134,26,12,14,278,136,94,61,10,1,51,76,298,29,122,4,478,171,2,0,23,15,1,64,2,0,221,61,298,173,374,33,94,31,6,2,5,442,406,174,0
2,2018,1,Hong Kong,138779.2912,71607.2656,122106.3929,160324.3531,323651.287,,,,138624.0494,129890.2235,121033.4824,152178.1985,144786.9764,135521.1963,120524.1254,152181.7738,138909.9569,100682.5046,140086.3293,156364.9062,129844.3945,132667.9487,84962.1484,,117306.8518,129349.814,130184.522,139110.827,132819.6411,134491.1523,151043.2023,183826.8584,117306.8518,142946.6779,148122.5132,129633.195,140208.8716,65952.583,144807.9025,123503.6924,129688.9998,145229.1312,163030.8649,333681.1511,196948.6237,149686.0862,153782.1475,129670.5283,72791.2304,144361.8717,114918.9602,142680.0915,156340.9648,95984.7724,31866.6667,85239.4001,167257.5914,,130340.7859,124070.3748,,57355.9675,123263.6606,150053.0987,124303.6855,143079.4959,116318.5974,132315.5634,150308.2401,200546.6685,378288.7613,102653.8635,133499.4161,133960.8276,147887.4098,,630,16,333,278,3,0,0,0,291,14,68,73,81,39,10,6,339,7,84,98,81,61,8,0,98,73,65,69,65,88,107,65,98,532,399,99,13,8,13,231,152,138,97,8,4,42,147,325,3,110,3,542,198,7,1,6,11,0,60,4,0,49,89,492,127,493,10,56,37,24,5,3,505,401,229,0
3,2018,1,China,196459.3982,171289.9949,168196.9385,226870.7843,257188.3528,309596.5915,339568.636,,197222.9919,163326.7375,184362.515,232285.1753,152614.8797,209264.1539,103204.9331,134733.3333,195998.8707,160065.0979,194350.3598,210688.8195,181337.368,206520.343,106910.4354,289684.42,187026.3302,201793.517,218393.3003,197036.6452,161154.5013,249073.6307,239389.9744,208078.9048,187026.3302,210068.379,205062.428,223397.8088,276463.5198,155759.6933,71301.0138,193730.2682,174377.3157,188251.8781,314204.0706,269829.6921,199936.7647,184990.0281,214564.3651,178771.1623,190861.6897,224301.3282,185168.2911,196410.0646,192640.6996,125114.5179,105764.1199,167338.7894,232420.3737,,236429.971,291500.0,,132253.0008,194639.9462,238369.087,159109.4816,214287.1045,215484.7258,172996.2141,231358.6987,417731.7282,245654.9145,554654.3461,183809.3124,194810.2358,218494.8334,,851,10,454,368,11,4,4,0,332,14,109,123,58,24,3,1,519,25,208,164,95,23,3,1,483,135,84,38,28,39,27,17,483,368,217,115,16,14,6,634,108,63,39,4,3,72,130,401,42,191,15,723,250,4,15,22,11,0,104,1,0,299,81,471,275,553,23,121,71,29,1,8,621,777,74,0
4,2018,1,Thailand,104238.5215,71252.3027,72189.051,144763.2021,319057.739,100370.9267,49374.72,28000.0,113756.4137,10750.0,86631.2923,101158.0552,191691.2487,88334.2526,496904.32,13496.7625,99272.4244,50301.7254,86518.2643,117223.6876,83159.1481,76522.5254,176646.6492,,84661.4038,104186.3035,102448.3323,87086.79,87123.7073,178244.664,168975.8088,91807.9514,84661.4038,118056.3684,125870.382,108266.2953,90342.2505,30337.6813,15086.72,89818.2742,116518.3354,146659.72,128423.4167,104058.085,142309.9919,137443.9666,135252.3742,76039.1813,136581.4763,116926.6441,67647.2228,95133.2897,125896.9851,356646.6128,,171229.47,146577.1499,79963.2513,167788.1157,121478.695,,46327.2579,97017.2128,147914.7684,90131.072,112637.0091,112359.5535,95797.0299,94036.5026,185323.6126,138449.1329,54881.2285,107192.3948,125663.4985,77070.2357,,270,3,171,84,9,1,1,1,94,2,30,36,14,9,2,1,176,2,59,70,29,13,3,0,106,44,32,19,18,27,15,9,106,164,113,42,6,2,1,157,66,29,13,3,2,19,33,108,19,82,9,227,50,5,0,6,20,2,19,1,0,101,27,142,99,162,9,81,11,5,2,3,168,155,115,0
5,2018,1,Singapore,160720.0733,47102.0,94183.6326,178979.3975,227953.0751,,10000.0,,163136.5326,135124.488,127578.0238,159815.1373,229718.5414,130687.6175,190722.8987,,158026.5523,,97913.6534,112035.7954,227418.2764,36656.1737,480934.7891,,127472.7721,151284.2244,128607.5307,140086.0707,151109.9869,245202.9734,212525.6337,134209.2904,127472.7721,172140.383,146473.6708,115508.3846,170894.9822,391675.0251,550420.7698,169716.2474,143526.7209,150842.5272,148035.1376,,,148001.4233,153575.2034,115275.465,55967.119,249639.1108,,172507.647,165512.6063,111840.5925,,74893.8069,95796.1428,,104615.1079,,,24203.8255,86844.6167,176549.889,126642.0582,168242.1493,68566.3644,122031.9102,135359.0553,139377.6317,64125.0,164302.2675,175925.9753,183007.1479,118731.1868,,104,1,26,71,5,0,1,0,52,3,17,9,10,6,7,0,52,0,14,16,12,6,4,0,21,21,10,15,9,11,14,3,21,83,41,28,7,3,4,63,26,12,3,0,0,10,32,36,6,20,0,89,27,1,0,3,3,0,13,0,0,8,12,84,15,85,4,14,10,4,1,4,71,69,35,0
6,2018,1,Malaysia,105117.7575,41407.4396,77543.2314,121504.2287,198548.9351,133530.9404,,,107195.5528,41596.0018,97711.2645,116069.5814,120771.0575,110761.7136,73785.5648,,103524.3728,67869.4714,79177.5498,107211.7069,153950.4654,116171.4956,114101.2706,,92834.7608,98079.3762,127309.9077,50822.3033,122132.5867,200070.2591,178389.027,141153.477,92834.7608,119818.637,109542.4445,133344.0478,139048.8435,127331.1779,59994.5924,103747.3128,101427.5577,137144.7203,126587.081,50047.3545,,105251.6319,100360.2344,112653.0362,39160.7333,101446.487,80526.2339,107525.7531,112612.0431,,,105246.5178,100482.6797,84708.2496,102420.316,244827.5877,,48245.3999,105941.0661,121156.6031,69986.0377,115742.776,44498.9499,85811.7084,133199.0403,145859.7646,314981.324,76051.9918,104394.2185,121857.8753,92403.2751,,280,3,114,154,7,2,0,0,122,3,34,44,24,10,7,0,158,12,56,42,28,14,6,0,152,58,29,6,13,10,10,2,152,128,66,43,9,8,2,214,48,14,3,1,0,25,42,154,11,43,5,184,49,0,0,10,23,1,77,3,0,61,16,203,59,216,5,54,16,5,3,2,200,122,158,0
7,2018,1,Indonesia,130389.699,32643.2253,78202.125,133277.4579,228037.876,,,1954500.0,145751.391,65855.3952,162936.6789,134603.2513,101854.1995,183633.5603,286766.6667,,115508.5576,70000.0,100885.1458,108873.6758,181805.0543,94183.5863,70700.0,,108290.9691,124971.2513,294057.2375,115029.4626,50668.0863,189272.0433,49267.4449,172000.0,108290.9691,162227.6872,163052.9188,136548.7322,142696.1191,336530.1403,82000.0,121775.527,96062.6928,633722.9014,156500.0,,,277844.33,162810.9568,127208.0475,54602.069,102663.9001,131607.4823,135915.9432,117984.4772,,,77417.7952,107482.3067,75996.2923,171724.1332,124063.7341,,39189.7297,43971.1927,159195.584,117192.9982,118996.7791,492234.1323,123410.1502,243617.5474,,,,128697.6822,133443.5419,64750.187,,156,4,48,96,7,0,0,1,77,3,27,27,12,5,3,0,79,1,28,32,12,5,1,0,92,24,15,9,6,7,2,1,92,64,33,21,5,4,1,123,27,4,2,0,0,11,18,64,10,46,7,113,19,0,0,6,17,4,39,6,0,14,24,118,75,76,5,19,3,0,0,0,134,148,8,0
8,2018,1,Phillipines,108349.4638,116209.6688,101102.7706,117209.0062,131073.4895,228520.7563,55840.1392,49690.0383,122270.5999,36250.0,131725.2581,91249.192,146329.0988,156675.5739,63793.2881,25913.784,99554.2534,82075.3699,60911.6393,113022.2026,85122.2396,154234.052,92892.5462,,103332.6848,106882.1291,108264.6052,76523.3799,173592.2761,60349.5148,118245.8167,218468.1942,103332.6848,111624.384,115189.6333,106924.9967,77763.8617,118220.8028,115533.8441,105123.7459,95005.5275,172364.9104,91352.2606,,,106269.2927,92226.4677,89324.306,186102.4192,159487.4967,113429.8389,121969.4585,79343.625,,,71096.2148,108795.5805,,123911.2491,76000.0,,91464.8811,28159.7024,113353.6412,97292.9773,111278.1545,294360.0,105554.7502,102856.264,200855.6225,30000.0,114834.37,107998.9648,125356.4738,95330.0788,,138,5,61,54,7,2,6,3,54,1,16,13,11,9,3,1,84,3,20,39,11,9,2,0,55,34,13,8,10,8,7,3,55,83,44,26,3,8,2,94,26,12,6,0,0,32,20,57,4,22,3,87,6,0,0,23,15,0,31,1,0,4,8,126,35,102,1,25,7,2,1,1,102,63,75,0
9,2018,1,Vietnam,121063.9864,72444.3417,109480.4285,150558.3709,96157.4081,,,,114248.8486,15219.9516,80429.7513,81159.9639,215258.0115,166449.7883,43223.7965,,126562.0636,23856.3755,108432.2561,172770.0609,93913.9837,53187.9562,420930.992,153000.0,96612.7128,171198.867,147098.8083,148682.4527,396804.8175,,368535.4489,,96612.7128,193098.8824,178800.6409,209303.1526,193040.891,152066.4884,153000.0,116657.1262,292114.8082,88226.4409,,,33875.0,142354.3626,107142.4835,123386.1696,150677.5197,85035.2338,52241.9446,132831.8012,123567.1313,11428.5714,,76825.4725,143016.5171,82519.7239,80996.5071,0.0,,87930.7572,136808.6977,149384.6199,117710.342,124368.7113,130203.5846,129951.6144,49850.0,,,,120905.4333,121801.9703,106102.6718,,110,5,66,35,4,0,0,0,49,2,16,13,11,4,3,0,61,2,23,18,8,7,2,1,83,14,7,2,1,0,3,0,83,27,8,14,2,2,1,102,4,3,0,0,1,24,5,54,8,16,3,84,13,1,0,11,4,2,12,2,0,52,10,48,62,42,6,8,1,0,0,0,101,105,5,0
