pref,kamei_per_capita
Hokkaido,7.901735449735449
Aomori,5.608257535223827
Iwate,5.897355790998821
Miyagi,6.243350679387106
Akita,5.828329882677708
Yamagata,6.534992784992785
Fukushima,5.597267364872999
Ibaraki,4.39520202020202
Tochigi,5.2649086521888995
Gumma,5.3522714269367215
Saitama,4.1353136810279665
Chiba,4.259191209103336
Tokyo,9.705468955774249
Kanagawa,4.781619192578097
Niigata,7.0336632178737455
Toyama,8.128618561089826
Ishikawa,10.270113259129076
Fukui,8.819372106481481
Yamanashi,7.557062611316621
Nagano,7.731766173201018
Gifu,6.991136833864565
Shizuoka,6.460025612879618
Aichi,6.321982403483992
Mie,6.021492295214923
Shiga,5.8527424170988525
Kyoto,8.830214651352863
Osaka,7.750507687844502
Hyogo,6.594930276049925
Nara,5.61750208855472
Wakayama,7.5989789789789794
Tottori,8.39918065547562
Shimane,8.038575667655786
Okayama,7.333245149911818
Hiroshima,7.278689174195594
Yamaguchi,6.194444444444444
Tokushima,7.146672771672771
Kagawa,7.550151092515108
Ehime,6.49024977180317
Kochi,7.175581025151224
Fukuoka,7.332059822361545
Saga,6.072597137014315
Nagasaki,6.332244829607302
Kumamoto,6.7423722349351625
Oita,6.913950073421439
Miyazaki,6.49554727140934
Kagoshima,7.014183659314746
Okinawa,7.077081899518238
