pref,quarter,total_qr_total,total_other_total,total_credit_total,total_total_total,kotei_qr_other,kotei_qr_kouri,kotei_qr_inshoku,kotei_other_other,kotei_other_kouri,kotei_other_inshoku,kotei_credit_other,kotei_credit_kouri,kotei_credit_inshoku,kotei_total_other,kotei_total_kouri,kotei_total_inshoku,idou_qr_total,idou_other_total,idou_credit_total,idou_total_total,tsushin_qr_total,tsushin_other_total,tsushin_credit_total,tsushin_total_total
Mie,1,5343.555555555556,5379.666666666666,9605.444444444445,12716.111111111111,1509.0,2604.444444444445,1056.5555555555554,1242.2222222222224,2540.1111111111113,875.4444444444442,2293.777777777778,5126.666666666667,1488.4444444444446,3108.333333333333,6074.222222222222,2155.1111111111113,125.7777777777778,83.77777777777777,132.77777777777774,210.77777777777771,47.77777777777778,638.1111111111112,563.7777777777778,1167.6666666666667
Mie,4,3157.444444444444,3409.222222222222,6884.777777777778,8732.444444444445,771.7777777777777,1750.777777777778,542.1111111111112,711.2222222222223,1723.666666666667,455.77777777777777,1546.5555555555554,3817.444444444444,996.2222222222223,1957.0,4389.222222222223,1360.5555555555557,62.88888888888889,39.888888888888886,74.33333333333333,120.33333333333331,29.88888888888889,478.66666666666674,450.22222222222223,905.3333333333335
Kyoto,1,10491.111111111111,11957.555555555557,20027.22222222222,26641.44444444445,2588.555555555555,4671.111111111112,2468.8888888888887,2572.0,4896.333333333333,2410.8888888888887,4842.0,8650.444444444445,4100.777777777777,5979.222222222223,10537.77777777778,5513.111111111112,683.111111111111,304.22222222222223,641.2222222222222,1124.3333333333333,79.44444444444444,1774.111111111111,1792.7777777777774,3487.0
Kyoto,4,5877.555555555556,8442.555555555555,14668.444444444449,18975.44444444444,1360.9999999999998,2925.333333333333,1222.4444444444443,1691.7777777777774,3638.222222222222,1624.4444444444446,3334.2222222222213,6616.222222222223,2918.222222222222,4023.222222222223,7867.444444444444,3757.0,323.66666666666663,152.55555555555554,392.88888888888886,636.4444444444445,45.11111111111111,1335.5555555555557,1406.888888888889,2691.333333333333
Saga,1,2679.1111111111113,2500.777777777778,4404.666666666667,5738.1111111111095,606.7777777777778,1429.9999999999998,528.0,551.2222222222223,1184.888888888889,391.33333333333326,966.6666666666665,2429.8888888888887,615.111111111111,1222.5555555555557,2903.444444444444,863.888888888889,93.11111111111109,52.22222222222222,90.88888888888891,145.44444444444446,21.222222222222225,321.1111111111111,302.1111111111111,602.7777777777778
Saga,4,1605.888888888889,1793.222222222222,3362.777777777778,4160.222222222223,310.77777777777777,968.4444444444445,272.99999999999994,374.22222222222223,907.3333333333335,238.55555555555557,693.4444444444445,1940.666666666667,424.0,821.1111111111113,2229.6666666666665,563.5555555555555,39.22222222222222,33.111111111111114,62.444444444444436,80.66666666666666,14.444444444444445,240.0,242.22222222222214,465.22222222222223
Hyogo,1,17437.11111111111,17765.88888888889,31520.888888888887,42126.1111111111,5121.11111111111,7440.333333333332,3947.4444444444453,4539.88888888889,6879.333333333332,2847.0,8807.555555555555,13592.222222222219,5408.666666666666,11018.0,16330.888888888892,7587.111111111112,778.2222222222223,368.11111111111114,843.5555555555555,1353.8888888888887,150.0,3131.5555555555547,2868.888888888888,5836.222222222223
Hyogo,4,10159.111111111111,12564.333333333336,23028.55555555555,29969.66666666667,2728.222222222222,4946.444444444445,2057.555555555555,2997.666666666666,5227.11111111111,1800.666666666667,6271.666666666668,10345.333333333334,3701.333333333334,7560.222222222222,12243.666666666664,4977.444444444444,333.6666666666667,172.77777777777774,488.22222222222223,704.3333333333335,93.22222222222223,2366.1111111111113,2222.0,4484.0
Hokkaido,1,19591.88888888889,19071.44444444445,37865.66666666666,47784.66666666666,4749.666666666667,8963.77777777778,3859.111111111111,4372.11111111111,9021.777777777776,3334.111111111111,9876.222222222224,18542.44444444444,6313.111111111112,11949.999999999998,21365.44444444445,8227.555555555555,1924.777777777778,689.6666666666665,1211.3333333333333,2742.777777777777,94.55555555555556,1653.777777777778,1922.555555555556,3498.888888888889
Hokkaido,4,11676.555555555557,13934.777777777776,29285.555555555562,35183.555555555555,2548.333333333333,6480.444444444444,2009.888888888889,2873.888888888889,7345.555555555556,2179.777777777778,7285.333333333332,15373.111111111108,4505.333333333333,8545.22222222222,17367.333333333332,5627.777777777777,570.8888888888888,348.44444444444434,764.0,1149.5555555555557,67.0,1187.111111111111,1357.7777777777776,2493.6666666666665
Chiba,1,11950.111111111108,15003.888888888892,24467.111111111117,31015.777777777785,3616.777777777778,5331.88888888889,2367.333333333333,3755.222222222222,5797.0,2391.444444444444,7285.222222222223,10162.111111111111,4125.555555555556,8817.22222222222,11654.555555555557,5327.666666666667,558.6666666666666,905.6666666666664,1197.5555555555557,1485.7777777777774,75.44444444444444,2154.555555555555,1696.666666666667,3730.5555555555543
Chiba,4,7529.1111111111095,10488.666666666666,17927.88888888889,22300.777777777777,2011.0,3945.777777777778,1286.1111111111113,2353.333333333333,4461.222222222223,1546.3333333333335,5012.777777777777,7979.666666666668,2797.666666666666,5969.1111111111095,9027.11111111111,3555.0,242.11111111111111,593.2222222222222,842.0,990.6666666666665,44.11111111111111,1534.5555555555554,1295.7777777777776,2758.888888888889
Wakayama,1,4679.222222222223,2899.666666666666,4876.666666666667,8355.111111111111,1170.5555555555557,2175.8888888888887,931.5555555555555,553.3333333333334,1299.3333333333333,380.33333333333337,1006.7777777777777,2575.1111111111113,654.0,1806.666666666667,3733.777777777778,1292.7777777777776,212.88888888888889,57.44444444444446,88.66666666666669,263.4444444444444,188.33333333333331,609.2222222222222,552.1111111111112,1258.4444444444443
Wakayama,4,2651.1111111111113,2080.333333333333,3641.666666666666,5703.0,609.111111111111,1392.5555555555554,516.8888888888888,351.44444444444434,973.3333333333335,237.66666666666663,684.4444444444445,1999.5555555555554,453.33333333333326,1113.4444444444443,2713.1111111111113,829.2222222222223,75.44444444444444,26.555555555555554,55.0,113.0,57.11111111111111,491.33333333333326,449.33333333333326,934.2222222222223
Saitama,1,15030.222222222224,16293.222222222224,26099.0,35309.33333333333,4464.777777777777,7044.444444444444,2765.222222222222,4065.222222222223,6392.444444444444,2535.8888888888887,7792.666666666665,11083.444444444443,4347.777777777777,9876.88888888889,13500.444444444443,5972.444444444444,665.6666666666667,469.33333333333326,726.6666666666665,1087.111111111111,90.11111111111109,2830.333333333333,2148.444444444445,4872.444444444444
Saitama,4,9217.888888888889,11546.555555555557,19499.0,25479.777777777777,2413.777777777778,5044.777777777777,1417.333333333333,2554.8888888888887,5017.555555555555,1714.666666666667,5502.333333333332,8770.555555555555,3105.444444444444,6761.111111111112,10380.11111111111,4062.666666666666,284.8888888888889,212.88888888888889,397.22222222222223,573.7777777777778,57.11111111111111,2046.5555555555554,1723.4444444444446,3702.111111111111
Oita,1,3715.222222222222,3612.5555555555547,7005.1111111111095,9062.222222222224,879.3333333333335,1746.333333333333,793.1111111111113,887.7777777777777,1634.888888888889,613.1111111111112,1823.666666666667,3502.333333333333,1146.8888888888887,2198.444444444444,4161.666666666667,1550.0,282.1111111111111,60.44444444444446,187.0,409.88888888888886,14.333333333333336,416.33333333333326,345.22222222222223,742.2222222222223
Oita,4,2109.0,2606.9999999999995,5431.555555555556,6632.444444444444,461.88888888888886,1154.2222222222224,385.5555555555555,593.1111111111112,1262.0,398.1111111111112,1332.888888888889,2866.888888888889,828.5555555555555,1540.777777777778,3290.222222222222,1026.3333333333333,98.0,42.333333333333336,152.7777777777778,226.22222222222217,9.333333333333334,311.4444444444444,250.44444444444443,548.8888888888888
Osaka,1,33118.11111111112,33743.11111111112,56820.8888888889,80655.7777777778,8215.0,13123.0,8551.666666666666,7102.444444444444,11378.66666666667,6239.222222222223,14476.444444444443,20815.777777777777,12714.0,18152.33333333333,25748.444444444438,17726.44444444444,2997.111111111111,994.8888888888887,1688.111111111111,4211.777777777777,231.33333333333331,8027.888888888888,7126.555555555556,14816.777777777781
Osaka,4,18040.33333333333,23832.000000000004,41368.11111111112,55892.66666666666,4403.333333333333,8662.22222222222,4211.0,4530.444444444444,8858.0,3946.444444444444,10127.555555555555,16000.0,8766.666666666666,12296.555555555557,19143.222222222223,11594.555555555557,627.6666666666666,316.1111111111111,772.111111111111,1201.2222222222224,136.1111111111111,6181.0,5701.777777777778,11657.111111111108
Nara,1,3892.888888888889,3782.666666666666,6406.222222222223,8817.666666666666,1173.3333333333333,1653.0,867.6666666666665,978.6666666666665,1464.333333333333,558.0,1892.5555555555554,2756.5555555555547,1028.7777777777776,2412.222222222222,3378.2222222222213,1513.0,148.88888888888889,73.33333333333333,120.44444444444444,218.33333333333331,50.0,708.3333333333335,607.8888888888888,1295.888888888889
Nara,4,2049.555555555555,2575.8888888888887,4694.666666666667,6124.888888888888,553.4444444444445,1031.0,364.77777777777777,605.4444444444445,1074.5555555555557,331.0,1344.3333333333333,2120.0,677.6666666666666,1600.4444444444446,2513.777777777778,895.3333333333335,70.44444444444444,34.888888888888886,65.77777777777779,113.66666666666669,29.888888888888893,530.0,486.88888888888886,1001.6666666666665
Miyagi,1,7031.0,8102.0,12844.222222222219,16630.333333333332,1772.2222222222226,3133.0,1540.0,1852.0,3812.666666666666,1462.888888888889,3266.333333333333,5675.222222222223,2571.444444444444,4058.888888888889,6775.333333333332,3419.0,527.7777777777777,294.77777777777777,610.4444444444445,1003.2222222222224,58.0,679.6666666666666,720.7777777777777,1373.8888888888887
Miyagi,4,4145.555555555556,5847.666666666668,9793.333333333334,12164.0,966.4444444444445,2131.0,782.4444444444442,1242.2222222222224,3005.222222222222,947.3333333333335,2393.0,4620.11111111111,1865.222222222222,2869.666666666666,5374.0,2361.222222222222,221.33333333333331,155.0,345.33333333333326,503.22222222222223,44.33333333333334,497.88888888888886,569.6666666666666,1055.888888888889
Miyazaki,1,4447.11111111111,3106.333333333333,5688.777777777777,8407.666666666666,907.6666666666665,1755.333333333333,993.111111111111,686.4444444444445,1510.888888888889,581.4444444444445,1156.0,3100.111111111111,931.3333333333335,1647.111111111111,3750.444444444444,1519.7777777777774,777.0,61.88888888888889,96.11111111111109,837.7777777777777,14.0,265.6666666666667,405.22222222222223,652.5555555555558
Miyazaki,4,2134.333333333333,2146.777777777777,4304.555555555556,5531.777777777777,418.33333333333326,1084.6666666666667,482.4444444444445,424.22222222222223,1123.0,366.1111111111112,829.7777777777777,2460.444444444444,657.6666666666666,1068.111111111111,2855.333333333333,939.7777777777776,138.88888888888889,34.111111111111114,62.33333333333334,189.44444444444443,10.0,199.33333333333331,294.3333333333333,479.1111111111112
Toyama,1,4335.444444444445,3911.777777777778,7137.777777777777,9785.77777777778,1144.5555555555557,2131.1111111111113,836.1111111111113,884.3333333333335,1948.111111111111,583.2222222222222,1732.666666666667,3637.111111111111,1183.111111111111,2383.444444444445,4585.0,1710.666666666667,188.77777777777771,82.0,182.77777777777771,316.1111111111111,34.888888888888886,414.11111111111114,402.11111111111114,790.5555555555555
Toyama,4,2591.0,2802.777777777777,5447.333333333333,7186.777777777778,614.0,1431.0,454.66666666666674,592.4444444444445,1458.2222222222226,398.0,1269.0,2848.666666666666,881.7777777777777,1655.5555555555554,3525.333333333333,1213.4444444444443,72.2222222222222,42.0,125.77777777777777,175.66666666666663,19.11111111111111,312.1111111111111,322.1111111111112,616.7777777777778
Yamaguchi,1,4958.333333333333,3935.333333333334,7071.666666666668,10012.555555555555,1309.888888888889,2228.333333333333,910.6666666666665,835.1111111111113,2000.4444444444446,619.6666666666666,1494.5555555555554,4033.555555555556,999.0,2248.444444444445,4892.333333333333,1512.4444444444446,484.66666666666674,79.7777777777778,143.2222222222222,585.2222222222222,24.777777777777786,400.33333333333326,401.33333333333326,774.1111111111113
Yamaguchi,4,2641.0,2802.111111111111,5311.444444444444,6811.555555555556,623.4444444444445,1480.666666666667,462.0,541.4444444444445,1514.888888888889,393.66666666666674,1059.0,3178.222222222222,687.111111111111,1410.7777777777774,3738.666666666666,947.5555555555555,62.0,44.22222222222222,83.66666666666667,124.33333333333336,12.888888888888886,307.8888888888889,303.4444444444444,590.2222222222222
Yamagata,1,4263.666666666667,3348.5555555555547,5971.555555555556,8541.222222222224,1183.3333333333333,1932.888888888889,713.3333333333335,771.2222222222223,1679.2222222222226,472.22222222222223,1425.7777777777774,3278.2222222222213,747.7777777777777,2122.6666666666665,4031.333333333334,1176.7777777777776,395.1111111111112,65.55555555555556,128.11111111111111,483.5555555555555,39.0,360.33333333333326,391.66666666666674,726.888888888889
Yamagata,4,2151.8888888888887,2158.777777777777,4183.555555555556,5548.222222222222,502.66666666666674,1168.222222222222,327.77777777777777,450.5555555555555,1163.3333333333333,250.66666666666663,900.8888888888887,2469.8888888888887,444.22222222222223,1230.5555555555557,2932.111111111111,663.7777777777778,129.44444444444446,35.333333333333336,72.66666666666667,184.22222222222226,23.777777777777768,258.8888888888889,295.8888888888889,537.5555555555555
Yamanashi,1,2407.8888888888887,2920.0,5903.0,7193.666666666668,613.7777777777778,1248.2222222222224,409.66666666666674,673.111111111111,1274.7777777777776,424.88888888888886,1220.888888888889,3439.0,715.0,1474.5555555555554,3789.111111111111,884.5555555555558,113.44444444444444,75.0,111.33333333333331,183.66666666666663,22.777777777777786,472.22222222222223,416.77777777777777,861.7777777777777
Yamanashi,4,1491.666666666667,2072.0,4241.11111111111,5063.88888888889,330.8888888888889,881.4444444444445,231.33333333333331,448.22222222222223,974.5555555555555,258.3333333333333,831.5555555555558,2550.444444444444,464.1111111111112,993.6666666666665,2764.111111111111,559.1111111111112,33.333333333333336,40.22222222222222,69.33333333333333,89.0,14.666666666666664,350.66666666666674,325.66666666666663,658.0
Gifu,1,7876.4444444444425,6123.444444444444,11596.777777777781,16193.0,2098.222222222222,3787.888888888889,1554.7777777777774,1377.4444444444446,2686.1111111111113,925.6666666666667,2611.8888888888887,6300.777777777777,1560.5555555555554,3703.0,7636.888888888888,2455.6666666666665,370.22222222222223,115.33333333333331,200.33333333333331,495.33333333333326,65.33333333333333,1018.888888888889,923.2222222222224,1902.1111111111115
Gifu,4,4812.666666666667,4233.333333333333,8487.666666666666,11589.777777777781,1199.2222222222224,2574.6666666666665,870.3333333333335,877.2222222222223,1942.5555555555554,584.7777777777778,1778.666666666667,4777.222222222223,1076.2222222222224,2490.6666666666665,5762.444444444444,1641.666666666667,123.77777777777777,52.111111111111114,112.44444444444444,207.5555555555556,44.66666666666666,776.6666666666665,743.1111111111113,1487.4444444444446
Okayama,1,8063.666666666668,6452.999999999999,11156.444444444443,16296.333333333336,2253.777777777778,3542.888888888889,1475.5555555555554,1679.888888888889,2860.333333333333,932.6666666666665,2753.333333333333,5583.555555555556,1589.777777777778,4060.0,7104.333333333335,2479.333333333333,725.5555555555555,126.55555555555556,249.22222222222217,864.6666666666665,65.8888888888889,853.5555555555555,980.5555555555555,1787.9999999999998
Okayama,4,4661.11111111111,4507.777777777777,8306.22222222222,11423.333333333336,1160.888888888889,2347.333333333333,811.0,1087.5555555555557,2120.333333333333,604.5555555555555,1964.888888888889,4321.777777777777,1082.111111111111,2684.444444444444,5349.888888888888,1610.888888888889,296.99999999999994,59.0,164.1111111111111,402.22222222222223,44.888888888888886,636.3333333333333,773.3333333333335,1375.888888888889
Iwate,1,4740.222222222223,3548.222222222222,5764.555555555556,8647.777777777776,1257.2222222222224,2094.0,872.2222222222223,844.6666666666669,1861.111111111111,523.5555555555555,1430.222222222222,3113.888888888889,792.3333333333335,2140.1111111111113,4038.777777777778,1371.777777777778,359.4444444444445,72.1111111111111,148.33333333333334,454.88888888888886,157.33333333333334,246.77777777777771,279.77777777777777,642.2222222222222
Iwate,4,2672.6666666666665,2472.555555555555,4259.222222222223,5824.333333333332,641.9999999999999,1386.111111111111,463.7777777777777,533.6666666666667,1433.333333333333,300.1111111111111,1011.3333333333335,2430.222222222222,500.33333333333326,1373.2222222222224,3004.666666666666,836.4444444444442,145.22222222222226,38.66666666666666,103.7777777777778,218.77777777777786,35.555555555555564,166.77777777777774,213.55555555555554,391.22222222222223
