pref,store_type,payment_type,industry_type,month,store
三重県小計,合計,QRコード　利用可能店,合計,6,4891.153846153846
三重県小計,合計,その他電子マネー等　利用可能店,合計,6,4989.2692307692305
三重県小計,合計,クレジットカード　利用可能店,合計,6,8875.807692307691
三重県小計,合計,合計,合計,6,11761.846153846154
三重県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,1368.6923076923076
三重県小計,固定店舗,QRコード　利用可能店,小売業,6,2411.8846153846152
三重県小計,固定店舗,QRコード　利用可能店,飲食業,6,949.8846153846154
三重県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,1151.5
三重県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,2355.423076923077
三重県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,804.2692307692307
三重県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,2110.3076923076924
三重県小計,固定店舗,クレジットカード　利用可能店,小売業,6,4747.307692307692
三重県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,1364.576923076923
三重県小計,固定店舗,合計,その他サービス業,6,2866.653846153846
三重県小計,固定店舗,合計,小売業,6,5620.7307692307695
三重県小計,固定店舗,合計,飲食業,6,1974.6153846153845
三重県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,116.96153846153847
三重県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,75.61538461538461
三重県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,119.3076923076923
三重県小計,移動販売等（タクシー、屋台など）,合計,合計,6,194.15384615384616
三重県小計,通信販売,QRコード　利用可能店,合計,6,43.73076923076923
三重県小計,通信販売,その他電子マネー等　利用可能店,合計,6,602.4615384615385
三重県小計,通信販売,クレジットカード　利用可能店,合計,6,534.3076923076923
三重県小計,通信販売,合計,合計,6,1105.6923076923076
京都府小計,合計,QRコード　利用可能店,合計,6,9935.884615384615
京都府小計,合計,その他電子マネー等　利用可能店,合計,6,11163.384615384615
京都府小計,合計,クレジットカード　利用可能店,合計,6,18742.576923076922
京都府小計,合計,合計,合計,6,25265.615384615383
京都府小計,固定店舗,QRコード　利用可能店,その他サービス業,6,2382.3076923076924
京都府小計,固定店舗,QRコード　利用可能店,小売業,6,4308.692307692308
京都府小計,固定店舗,QRコード　利用可能店,飲食業,6,2215.6923076923076
京都府小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,2373.3846153846152
京都府小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,4583.2307692307695
京都府小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,2238.0384615384614
京都府小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,4471.7692307692305
京都府小計,固定店舗,クレジットカード　利用可能店,小売業,6,8127.884615384615
京都府小計,固定店舗,クレジットカード　利用可能店,飲食業,6,3817.5384615384614
京都府小計,固定店舗,合計,その他サービス業,6,5564.2307692307695
京都府小計,固定店舗,合計,小売業,6,9883.807692307691
京都府小計,固定店舗,合計,飲食業,6,5111.846153846154
京都府小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,959.0384615384615
京都府小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,300.7692307692308
京都府小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,633.2692307692307
京都府小計,移動販売等（タクシー、屋台など）,合計,合計,6,1417.5384615384614
京都府小計,通信販売,QRコード　利用可能店,合計,6,70.15384615384616
京都府小計,通信販売,その他電子マネー等　利用可能店,合計,6,1667.9615384615386
京都府小計,通信販売,クレジットカード　利用可能店,合計,6,1692.1153846153845
京都府小計,通信販売,合計,合計,6,3288.1923076923076
