,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
北海道小計,694,1813,1866,2048,2208,2515,2727,2837,2878,2985,3170,3376,3546,3585,3629,3662,3682,3861,3861
北海道札幌市,0,833,855,937,1017,1170,1253,1303,1322,1367,1496,1617,1715,1739,1754,1772,1782,1867,1867
北海道函館市,1,62,65,78,87,92,103,105,106,113,119,128,140,142,146,148,151,164,164
北海道小樽市,0,54,55,60,65,72,78,81,82,85,86,89,90,91,91,92,93,100,100
北海道旭川市,42,150,151,161,165,184,196,203,210,219,228,240,249,252,254,257,257,258,258
北海道室蘭市,2,19,19,19,21,27,32,32,32,34,36,39,40,40,42,42,42,48,48
北海道釧路市,0,33,33,36,38,42,46,48,52,57,61,63,65,65,68,69,69,72,72
北海道帯広市,1,95,97,107,109,117,123,128,131,132,135,146,148,148,149,149,150,158,158
北海道北見市,0,26,32,37,44,63,69,67,68,71,57,60,61,61,61,62,62,68,68
北海道夕張市,0,5,5,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10
北海道岩見沢市,6,13,13,14,14,15,22,22,22,24,27,27,29,29,29,29,29,29,29
北海道網走市,1,13,13,14,14,15,16,17,17,18,18,19,20,20,20,20,21,22,22
北海道留萌市,0,11,12,12,12,12,13,14,14,15,16,17,18,19,19,19,19,21,21
北海道苫小牧市,7,46,46,50,52,58,62,67,67,72,80,88,95,95,96,99,99,104,104
北海道稚内市,0,12,14,15,16,17,22,23,23,23,26,26,27,27,28,28,28,29,29
北海道美唄市,1,9,9,9,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12
北海道芦別市,13,3,3,3,3,5,9,9,9,9,9,9,9,9,9,9,9,10,10
北海道江別市,0,18,18,19,22,27,31,32,32,33,35,37,43,43,43,45,45,48,48
北海道赤平市,0,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
北海道紋別市,1,4,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
北海道士別市,0,1,1,1,2,3,4,4,4,4,4,5,5,6,6,6,6,6,6
北海道名寄市,0,5,5,7,8,8,9,9,9,10,10,11,11,11,12,12,12,13,13
北海道三笠市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道根室市,0,11,11,11,13,14,14,15,15,18,19,19,19,19,19,19,19,19,19
北海道千歳市,4,47,47,54,55,65,69,72,72,75,77,83,89,89,91,91,91,93,93
北海道滝川市,7,8,8,10,11,13,14,14,14,15,15,17,17,17,17,17,17,17,17
北海道砂川市,0,1,1,1,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6
北海道歌志内市,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道深川市,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
北海道富良野市,0,6,7,7,9,14,14,14,14,14,14,14,15,15,15,15,15,16,16
北海道登別市,0,10,12,12,17,19,19,19,19,20,22,23,23,23,24,24,24,24,24
北海道恵庭市,0,11,12,13,14,18,20,23,23,24,25,25,26,26,26,26,26,28,28
北海道伊達市,0,7,7,7,9,11,12,12,12,12,12,13,14,14,17,17,17,18,18
北海道北広島市,1,13,13,13,14,16,17,18,18,19,24,25,29,29,29,29,29,31,31
北海道石狩市,1,10,10,11,12,15,23,24,24,26,29,32,33,33,33,34,34,35,35
北海道北斗市,18,6,6,6,6,6,7,8,8,9,11,11,12,13,13,13,13,14,14
北海道当別町,0,5,5,5,6,7,8,8,8,8,8,8,8,8,8,8,9,10,10
北海道新篠津村,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道松前町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道福島町,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道知内町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道木古内町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道七飯町,0,6,7,9,10,10,10,10,10,10,11,11,12,12,12,12,12,13,13
北海道鹿部町,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道森町,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3
北海道八雲町,0,2,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
北海道長万部町,0,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
北海道江差町,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
北海道上ノ国町,3,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
北海道厚沢部町,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道乙部町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道奥尻町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道今金町,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道せたな町,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道島牧村,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道寿都町,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道黒松内町,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道蘭越町,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道ニセコ町,0,3,3,5,7,11,12,12,12,12,12,12,12,12,12,13,13,13,13
北海道真狩村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
北海道留寿都村,0,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5
北海道喜茂別町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道京極町,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道倶知安町,0,5,5,10,11,12,12,13,13,13,12,12,12,12,12,12,13,15,15
北海道共和町,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
北海道岩内町,0,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
北海道泊村,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道神恵内村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道積丹町,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
北海道古平町,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道仁木町,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4
北海道余市町,1,1,1,3,4,5,5,6,6,7,6,7,8,8,8,8,8,9,9
北海道赤井川村,0,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
北海道南幌町,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
北海道奈井江町,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道上砂川町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道由仁町,0,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5
北海道長沼町,0,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5
北海道栗山町,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5
北海道月形町,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道浦臼町,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道新十津川町,3,5,5,5,5,5,7,7,7,7,8,9,9,9,9,9,9,9,9
北海道妹背牛町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道秩父別町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道雨竜町,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道北竜町,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道沼田町,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
北海道鷹栖町,0,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4
北海道東神楽町,1,3,2,2,2,2,2,2,2,2,2,3,4,5,5,5,5,5,5
北海道当麻町,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
北海道比布町,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道愛別町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道上川町,0,2,2,2,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7
北海道東川町,7,7,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11
北海道美瑛町,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
北海道上富良野町,5,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6
北海道中富良野町,1,8,9,9,10,11,11,11,11,11,10,10,10,10,10,10,10,10,10
北海道南富良野町,12,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
北海道占冠村,0,0,0,0,0,0,4,4,4,5,5,5,5,5,5,5,5,5,5
北海道和寒町,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道剣淵町,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
北海道下川町,0,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
北海道美深町,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
