,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
Hokkaido,1649,972,750,1171,1265,1430,1661,2160,2231,2521,2615,2877,3002,3116,3133,3175,3332,3604,3604
Aomori,347,129,98,167,263,323,345,380,444,596,596,631,629,663,666,670,691,810,810
Iwate,259,155,133,198,192,347,364,387,410,424,424,492,490,494,497,502,513,713,713
Miyagi,810,384,325,523,546,686,786,831,856,890,896,919,1092,1117,1215,1225,1359,1412,1412
Akita,261,74,62,88,137,155,180,291,295,312,314,326,364,371,374,372,381,404,404
Yamagata,367,88,74,131,160,353,365,398,404,432,459,514,527,540,542,544,552,565,565
Fukushima,527,170,137,152,145,180,267,295,316,418,420,510,517,530,532,534,540,586,586
Ibaraki,622,282,248,260,276,344,361,430,450,477,480,513,520,591,594,590,624,866,866
Tochigi,493,163,121,164,164,256,278,302,317,352,354,397,426,437,443,507,520,581,581
Gumma,716,153,91,156,156,166,178,194,212,288,288,294,305,313,318,319,327,352,352
Saitama,2484,573,603,661,708,769,842,910,970,1053,1064,1111,1137,1191,1200,1263,1369,1490,1490
Chiba,1829,463,507,579,623,625,1142,1313,1374,1490,1502,1513,1534,1570,1609,1616,1708,1974,1973
Tokyo,11601,5385,5603,12657,12835,13599,14020,14496,14739,15231,15374,15669,16479,16842,16908,16972,19785,20733,20730
Kanagawa,3002,1515,1421,2186,2245,2438,2561,2660,2756,2842,2900,3113,3153,3237,3268,3288,3410,4825,4824
Niigata,980,780,501,469,477,608,661,729,764,837,842,1189,1336,1344,1354,1378,1388,1467,1467
Toyama,450,150,145,190,194,240,258,274,282,308,308,338,335,343,343,347,368,411,411
Ishikawa,558,192,186,228,273,422,463,477,494,505,508,512,514,520,547,546,554,654,654
Fukui,684,47,52,59,61,68,73,79,92,97,97,103,105,107,108,110,110,248,247
Yamanashi,476,108,88,89,80,97,111,127,136,159,159,179,197,215,234,247,263,278,278
Nagano,787,259,224,247,268,585,613,801,835,850,854,916,941,950,962,985,1001,1076,1076
Gifu,1074,204,178,207,214,243,264,346,370,441,444,504,513,521,610,766,774,1248,1248
Shizuoka,1493,378,382,507,492,716,894,1169,1259,1351,1352,1648,1650,1719,1738,1761,2020,2603,2603
Aichi,3494,738,690,821,899,1055,1185,1285,1383,1633,1644,2032,2099,2260,2322,2389,2702,3026,3026
Mie,670,111,101,117,124,155,167,183,210,215,216,228,223,225,227,228,240,269,269
Shiga,631,99,85,90,97,114,124,133,152,190,193,203,207,217,220,251,330,596,596
Kyoto,1906,567,520,561,592,893,963,1025,1081,1111,1122,1174,1195,1213,1224,1222,2126,2963,2963
Osaka,8216,910,875,976,1052,1312,1525,3856,2401,4000,4014,4412,4842,5080,5308,5526,5740,7145,7144
Hyogo,3082,531,522,600,637,1036,1142,1217,1278,1355,1363,1388,1408,1428,1456,1555,1594,2154,2153
Nara,682,104,106,153,164,186,199,228,240,247,251,256,224,232,233,248,268,285,285
Wakayama,668,91,87,94,102,125,191,251,264,272,274,274,268,271,274,275,276,337,337
Tottori,192,48,45,58,56,154,158,165,170,184,184,192,193,195,195,195,200,232,232
Shimane,230,87,73,91,86,163,173,177,183,188,190,198,204,207,205,206,217,231,231
Okayama,967,280,261,383,443,496,518,610,635,821,828,853,928,950,955,963,1012,1351,1350
Hiroshima,1230,502,391,639,639,797,867,1216,1272,1457,1461,1574,1610,1900,1928,2038,2103,2374,2374
Yamaguchi,427,125,106,129,134,155,164,205,217,578,580,719,723,725,760,762,773,909,909
Tokushima,375,64,67,95,92,103,118,145,156,180,180,203,214,231,237,237,243,298,298
Kagawa,555,149,134,182,171,180,210,215,227,233,233,256,259,281,281,294,303,369,369
Ehime,609,97,84,138,143,156,179,227,240,280,306,374,376,384,402,410,414,478,478
Kochi,381,111,104,131,149,209,293,305,315,357,358,382,403,411,412,416,443,511,511
Fukuoka,2669,905,785,930,946,1233,1424,1651,1766,1929,1942,2032,2075,2157,2178,2238,2305,2597,2595
Saga,344,135,93,91,93,92,104,110,114,118,118,168,171,173,177,176,179,192,192
Nagasaki,370,345,278,291,371,409,448,485,537,547,552,585,607,624,626,814,1040,1093,1093
Kumamoto,584,273,227,240,224,275,295,318,331,514,516,741,750,772,779,801,828,889,889
Oita,397,200,187,195,196,273,331,338,350,363,365,412,411,488,489,490,496,549,549
Miyazaki,306,105,85,197,202,218,235,578,584,593,593,887,944,1097,1103,1169,1222,1249,1249
Kagoshima,574,276,174,178,187,210,229,289,311,473,647,659,678,744,750,860,871,955,955
Okinawa,355,199,221,313,335,400,435,561,609,766,783,832,872,889,921,931,939,1125,1125
