,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
Hokkaido,3927,4823,5011,5720,6102,6852,7209,7603,7718,7997,8027,8348,8426,8601,8697,8865,9027,9724,9721
Aomori,399,495,518,651,710,901,948,1011,1027,1074,1082,1176,1191,1236,1270,1300,1329,1422,1422
Iwate,502,657,693,855,924,1102,1150,1228,1262,1326,1339,1410,1416,1470,1477,1507,1531,1613,1613
Miyagi,1654,2004,2089,2398,2552,2936,3047,3205,3240,3339,3350,3461,3490,3555,3594,3648,3694,3868,3868
Akita,522,601,629,722,766,880,912,970,973,1013,1023,1073,1086,1110,1122,1133,1155,1215,1215
Yamagata,396,490,514,656,733,915,954,1032,1076,1111,1130,1214,1220,1261,1292,1319,1342,1477,1477
Fukushima,708,897,954,1133,1204,1416,1492,1588,1614,1693,1704,1804,1822,1871,1888,1922,1949,2049,2049
Ibaraki,1018,1229,1310,1514,1649,1884,1962,2113,2146,2204,2217,2336,2358,2408,2434,2501,2543,2738,2736
Tochigi,765,979,1025,1243,1377,1555,1622,1708,1747,1831,1848,1948,1978,2026,2049,2095,2132,2277,2275
Gumma,814,1057,1127,1286,1414,1621,1684,1780,1814,1893,1910,1975,2004,2049,2074,2114,2151,2297,2296
Saitama,2779,3408,3551,4104,4436,5062,5301,5572,5630,5782,5835,6065,6143,6252,6307,6400,6515,6890,6889
Chiba,2395,2941,3160,3646,3924,4460,4631,4915,4982,5147,5199,5390,5475,5605,5668,5750,5826,6354,6352
Tokyo,17866,21954,23180,26626,28345,31703,33290,34963,35559,36543,36901,38193,38682,39395,39789,40272,40826,43356,43335
Kanagawa,4468,5431,5700,6613,7072,8107,8493,8974,9129,9393,9477,9856,9962,10146,10248,10425,10572,11293,11291
Niigata,1098,1417,1499,1829,1964,2296,2409,2555,2597,2685,2693,2821,2865,2952,2992,3041,3102,3283,3282
Toyama,875,1032,1084,1237,1317,1475,1532,1586,1602,1653,1661,1735,1759,1795,1815,1846,1891,1961,1960
Ishikawa,1454,1835,1887,2080,2167,2350,2432,2516,2540,2584,2596,2667,2683,2717,2750,2784,2815,2961,2961
Fukui,623,759,794,909,995,1160,1217,1287,1312,1364,1372,1422,1434,1448,1458,1480,1503,1569,1569
Yamanashi,370,465,486,564,605,701,736,790,817,851,859,898,915,932,945,964,999,1083,1083
Nagano,1188,1513,1601,1971,2094,2388,2500,2641,2698,2795,2825,2919,2946,3032,3057,3124,3175,3439,3439
Gifu,1109,1371,1432,1675,1760,2059,2146,2255,2286,2384,2392,2477,2496,2582,2615,2661,2713,2912,2912
Shizuoka,1989,2455,2545,2993,3151,3689,3848,4073,4138,4287,4309,4514,4565,4670,4765,4872,4968,5341,5340
Aichi,5056,6414,6750,7926,8484,9782,10169,10736,10897,11251,11224,11662,11794,12024,12139,12326,12537,13319,13315
Mie,889,1094,1168,1380,1488,1767,1829,1944,1972,2063,2069,2218,2243,2277,2301,2349,2383,2501,2499
Shiga,728,871,955,1146,1199,1414,1494,1555,1581,1617,1641,1698,1715,1764,1793,1833,1867,1982,1979
Kyoto,2651,3178,3365,3868,4091,4623,4834,5105,5179,5358,5386,5602,5647,5760,5830,5915,5999,6295,6292
Osaka,8034,9705,10175,11844,12712,14629,15382,16311,16607,17243,17402,18052,18213,18664,18954,19324,19700,21035,21030
Hyogo,3497,4223,4417,5070,5381,6298,6689,7075,7203,7426,7461,7720,7794,7974,8065,8258,8402,9005,9004
Nara,599,718,751,893,954,1140,1236,1305,1344,1447,1475,1557,1579,1621,1655,1687,1710,1816,1816
Wakayama,521,684,703,826,908,1066,1137,1202,1211,1251,1259,1303,1314,1357,1376,1404,1427,1508,1505
Tottori,429,499,511,649,684,823,854,888,892,924,929,961,964,994,1009,1023,1044,1122,1122
Shimane,385,484,511,688,726,847,883,927,934,959,964,1017,1024,1052,1064,1088,1108,1201,1201
Okayama,1068,1304,1354,1635,1755,2077,2158,2294,2318,2404,2415,2523,2543,2602,2634,2684,2717,2906,2906
Hiroshima,1962,2476,2587,3009,3225,3807,3934,4193,4247,4415,4454,4629,4682,4805,4855,4950,5009,5344,5344
