,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
北海道,26854,31295,32438,35826,37920,41318,43225,45207,45655,47020,47277,48438,48868,49594,49990,50598,51246,53901,53888
青森県,4154,4986,5199,5853,6283,6927,7185,7459,7581,7943,7971,8495,8561,8744,8816,8974,9097,9584,9582
岩手県,4077,4944,5113,5877,6276,7230,7527,8005,8111,8360,8410,8824,8901,9111,9209,9415,9508,10158,10157
宮城県,9153,10761,11141,12479,13184,14526,15169,15758,15903,16363,16428,16794,17102,17324,17535,17676,17979,18764,18760
秋田県,3415,3989,4199,4740,5085,5598,5821,6187,6228,6420,6453,6665,6785,6901,6965,7044,7142,7538,7538
山形県,3843,4495,4680,5548,6050,7132,7411,7854,7962,8291,8391,8729,8802,8998,9076,9191,9305,9830,9830
福島県,6234,7499,7820,8769,9241,10277,10852,11364,11484,11909,11980,12340,12434,12660,12751,12862,12974,13577,13576
茨城県,7693,9079,9474,10651,11307,12625,13182,13921,14071,14449,14523,14937,15082,15386,15481,15657,15860,16935,16926
栃木県,6170,7231,7512,8539,9210,10177,10538,11118,11253,11619,11670,12252,12379,12580,12682,12845,12998,13679,13674
群馬県,6249,7530,7875,8761,9475,10469,10876,11363,11500,11910,11983,12261,12387,12853,12974,13143,13305,13918,13915
埼玉県,18741,22277,23348,26454,27966,30808,32298,33710,33993,34833,35072,35834,36181,36736,36970,37469,37953,39956,39948
千葉県,16659,19649,20641,23127,24398,26764,27950,29340,29615,30573,30830,31579,31892,32432,32706,33061,33452,36106,36099
東京都,80849,95530,100253,119073,125359,137322,144169,149860,151571,155578,156530,159781,162085,164765,165896,169136,171781,181789,181737
神奈川県,27071,32238,33700,38603,40678,44713,46952,48905,49364,50514,50830,52030,52531,53258,53620,54150,54762,59074,59055
新潟県,9069,10925,11409,13051,13857,15507,16127,16984,17190,17953,18020,18963,19177,19552,19703,19929,20146,21090,21087
富山県,5479,6328,6564,7345,7773,8495,8846,9206,9270,9589,9629,9941,10031,10190,10267,10368,10534,10985,10983
石川県,7620,9118,9342,10211,10682,11759,12250,12698,12786,13188,13251,13580,13659,13837,13980,14091,14194,14844,14839
福井県,4342,4980,5208,5840,6188,6869,7116,7445,7548,7741,7789,7974,8033,8125,8163,8248,8345,8777,8775
山梨県,3615,4217,4411,5493,5764,6295,6618,6885,6999,7180,7219,7297,7385,7518,7586,7655,7774,8147,8147
