,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
北海道,14272,16210,16889,18100,18857,20120,20746,21216,21286,21682,21547,21671,21638,21832,21957,22188,22296,23028,23022
青森県,2491,3030,3172,3451,3608,3782,3877,3962,3980,4056,4047,4062,4071,4115,4132,4170,4199,4313,4312
岩手県,2274,2707,2806,3112,3304,3612,3748,3910,3914,3984,3980,4091,4116,4193,4216,4294,4326,4493,4492
宮城県,4277,4980,5210,5659,5936,6372,6574,6769,6775,6903,6865,6886,6882,6933,6969,7011,7062,7287,7285
秋田県,1920,2205,2340,2608,2749,2934,3002,3095,3105,3162,3157,3197,3226,3261,3287,3329,3370,3499,3499
山形県,2250,2586,2704,3067,3275,3657,3774,3936,3965,4073,4067,4102,4099,4177,4191,4240,4284,4452,4452
福島県,3607,4281,4484,4941,5180,5597,5798,6013,6028,6151,6149,6164,6176,6269,6305,6339,6370,6592,6591
茨城県,4205,4952,5184,5781,6066,6585,6809,7069,7081,7232,7203,7202,7202,7293,7331,7385,7433,7656,7650
栃木県,3348,3857,4023,4433,4738,5050,5163,5311,5326,5439,5408,5520,5494,5564,5585,5614,5660,5848,5845
群馬県,3139,3742,3952,4309,4641,5009,5158,5306,5324,5435,5379,5403,5396,5511,5548,5591,5641,5808,5806
埼玉県,8247,9778,10374,11725,12287,13225,13728,14193,14189,14419,14188,13951,13764,13881,13925,14061,14127,14652,14647
千葉県,7274,8581,9059,10013,10502,11252,11604,12009,12004,12250,12108,12053,11920,12047,12119,12235,12275,12874,12871
東京都,26752,31689,33643,37697,39975,43203,44838,45971,45994,47110,46050,44860,44340,44824,44978,47118,45612,47748,47737
神奈川県,11239,13319,14121,15848,16607,17797,18485,18955,18870,19200,18896,18631,18389,18540,18616,18701,18785,19540,19534
新潟県,4309,4988,5239,5893,6275,6810,7016,7335,7373,7641,7595,7687,7718,7827,7872,7919,7981,8258,8258
富山県,2836,3230,3358,3663,3867,4137,4298,4482,4494,4635,4611,4659,4674,4719,4738,4763,4804,4949,4948
石川県,3633,4205,4321,4659,4822,5189,5423,5622,5627,5868,5841,5932,5928,5987,6037,6070,6100,6268,6264
福井県,2231,2559,2706,2978,3130,3400,3486,3613,3630,3692,3669,3665,3661,3691,3704,3730,3774,3839,3838
山梨県,1944,2281,2392,3260,3407,3619,3799,3892,3930,3991,3975,3871,3870,3892,3915,3932,3961,4077,4077
長野県,4573,5375,5669,6332,6711,7291,7598,8015,8048,8200,8192,8190,8162,8254,8278,8332,8381,8713,8711
岐阜県,3928,5523,5781,6303,6593,7063,7414,7634,7660,7831,7768,7774,7759,7849,7884,7936,7990,8271,8272
静岡県,6889,8090,8420,9418,9997,10906,11239,11647,11617,11881,11768,11791,11781,11903,12010,12130,12240,12664,12661
愛知県,12876,15235,16108,17983,19046,20616,21848,22642,22678,23172,22897,22778,22642,22871,22979,23149,23333,24124,24117
三重県,3325,3881,4087,4621,4866,5362,5675,5981,6026,6161,6119,6216,6212,6268,6298,6347,6398,6568,6564
滋賀県,2469,2863,3027,3317,3482,3828,3947,4112,4131,4204,4180,4169,4182,4218,4243,4272,4320,4433,4431
京都府,6057,7145,7674,8657,9086,9833,10205,10618,10623,10879,10755,10756,10753,10903,10953,11025,11141,11640,11639
大阪府,15867,18571,19739,22185,23445,25326,26236,27282,27365,27992,27487,26762,26471,26744,26918,27151,27459,28544,28541
兵庫県,9649,11566,12190,13585,14302,15499,16173,16785,16866,17220,16955,16774,16680,16889,16972,17141,17335,18064,18061
奈良県,2060,2403,2536,2809,2943,3199,3286,3457,3458,3561,3519,3474,3469,3514,3536,3572,3612,3738,3738
