,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
Hokkaido,6312,7477,7922,8787,9488,10401,10882,11391,11542,11835,11918,12166,12256,12460,12574,12708,12909,13684,13680
Aomori,816,960,1030,1182,1275,1457,1534,1612,1633,1706,1709,1927,1945,2001,2016,2091,2135,2270,2269
Iwate,952,1134,1182,1380,1494,1738,1819,1926,1969,2053,2073,2201,2227,2297,2354,2444,2467,2639,2639
Miyagi,2132,2516,2624,2952,3150,3464,3651,3802,3865,4024,4033,4160,4207,4278,4310,4335,4397,4696,4694
Akita,663,821,877,1007,1098,1262,1337,1426,1446,1514,1522,1604,1625,1667,1689,1713,1736,1892,1892
Yamagata,764,917,963,1217,1377,1660,1744,1891,1914,2056,2068,2190,2215,2274,2295,2322,2358,2520,2520
Fukushima,1291,1583,1661,1906,2045,2345,2529,2673,2723,2813,2830,2941,2969,3034,3066,3101,3145,3333,3333
Ibaraki,1651,1953,2044,2336,2488,2900,3081,3286,3366,3472,3492,3613,3656,3727,3749,3799,3872,4210,4209
Tochigi,1451,1708,1797,2110,2299,2582,2709,2886,2945,3048,3061,3200,3235,3298,3348,3367,3424,3645,3645
Gumma,1464,1786,1888,2135,2340,2670,2820,3013,3067,3170,3194,3307,3343,3631,3674,3748,3807,4021,4021
Saitama,4795,5849,6055,7010,7413,8421,8961,9427,9541,9787,9836,10098,10208,10420,10507,10651,10825,11573,11571
Chiba,4796,5662,5864,6685,7008,7902,7917,8311,8416,8748,8828,9096,9172,9365,9425,9538,9695,10768,10767
Tokyo,20008,23632,24455,27519,28738,31960,34285,35951,36426,37269,37472,38022,38322,39019,39350,39611,40225,43157,43140
Kanagawa,7093,8711,9079,10303,10857,12141,12970,13684,13891,14197,14271,14538,14688,14914,15017,15210,15442,16494,16484
Niigata,2257,2666,3062,3669,3897,4431,4618,4888,4960,5255,5269,5520,5457,5610,5654,5744,5823,6160,6158
Toyama,1217,1423,1477,1707,1818,2045,2133,2223,2242,2328,2331,2427,2454,2517,2550,2590,2645,2809,2809
Ishikawa,1874,2280,2323,2558,2703,3005,3101,3236,3266,3351,3377,3481,3508,3568,3593,3633,3659,3848,3847
Fukui,771,890,921,1100,1178,1352,1425,1513,1545,1599,1602,1659,1678,1712,1720,1742,1768,1879,1879
Yamanashi,748,862,920,1015,1067,1223,1290,1371,1402,1445,1450,1502,1530,1594,1604,1616,1649,1773,1773
Nagano,2115,2643,2781,3369,3599,4123,4397,4698,4830,4986,5012,5329,5388,5551,5585,5900,6043,6436,6434
Gifu,1762,2123,2201,2577,2752,3171,3317,3507,3552,3672,3688,3790,3821,3885,3930,4003,4081,4374,4374
Shizuoka,3357,3994,4144,4831,5162,6083,6400,6812,6917,7155,7186,7471,7547,7700,7851,7963,8082,8637,8630
Aichi,6498,7959,8352,9899,10506,12024,12676,13360,13553,13938,13974,14365,14500,14746,14900,15036,15326,16543,16538
