,1011,1021,1101,1111,1121,1201,1211,1221,0111,0121,0201,0211,0221,0301,0311,0321,0401,0601,0611
Hokkaido,694,1813,1866,2048,2208,2515,2727,2837,2878,2985,3170,3376,3546,3585,3629,3662,3682,3861,3861
Aomori,101,372,381,402,427,464,481,494,497,511,537,699,725,729,732,743,743,769,769
Iwate,90,291,299,332,362,431,446,554,556,573,594,630,652,657,665,668,671,700,700
Miyagi,280,877,893,947,1000,1068,1111,1151,1167,1207,1284,1368,1431,1441,1447,1457,1467,1501,1501
Akita,49,288,291,315,335,367,390,405,409,419,437,465,484,492,493,497,500,528,528
Yamagata,66,414,425,477,505,547,574,597,603,619,667,709,741,746,756,766,769,816,816
Fukushima,101,568,584,637,667,739,766,795,803,834,877,921,950,956,960,966,970,1017,1017
Ibaraki,197,663,688,760,828,912,969,1023,1028,1064,1131,1273,1346,1367,1373,1382,1388,1465,1465
Tochigi,113,524,546,589,632,734,766,911,918,949,999,1187,1246,1255,1257,1262,1262,1328,1328
Gumma,116,792,817,875,924,1003,1036,1070,1083,1124,1212,1282,1339,1349,1360,1371,1379,1440,1440
Saitama,436,2669,2765,2954,3122,3331,3466,3608,3663,3792,4149,4609,4929,4992,5031,5094,5117,5351,5351
Chiba,365,2002,2051,2204,2341,2525,2656,2792,2839,2938,3193,3527,3791,3845,3885,3922,3948,4136,4136
Tokyo,4622,12870,13372,14574,15466,16857,17736,18479,18853,19425,20733,23037,24262,24685,24871,25163,25333,26795,26795
Kanagawa,1269,3262,3379,3653,3897,4230,4443,4632,4718,4882,5286,5892,6339,6421,6471,6526,6553,6922,6922
Niigata,425,1074,1108,1191,1244,1362,1423,1477,1496,1535,1621,1746,1801,1819,1831,1847,1852,1922,1922
Toyama,101,493,500,548,577,598,625,641,650,665,718,782,809,816,821,822,826,855,855
Ishikawa,101,606,625,686,717,793,831,847,859,880,929,988,1026,1045,1053,1058,1066,1113,1113
Fukui,33,725,735,794,824,889,915,953,969,989,1049,1125,1155,1167,1173,1186,1190,1242,1242
Yamanashi,77,501,525,565,605,655,682,705,714,734,776,847,873,885,888,896,902,936,936
Nagano,184,848,890,990,1085,1257,1307,1664,1701,1753,1818,1910,1993,2104,2112,2123,2312,2401,2401
Gifu,147,1164,1208,1308,1373,1468,1512,1553,1573,1618,1731,1856,1933,1954,1963,1989,2002,2097,2097
Shizuoka,225,1663,1722,1854,1976,2185,2277,2360,2388,2455,2612,2831,2957,2980,3001,3032,3047,3186,3186
Aichi,490,3769,3857,4149,4329,4671,4866,5047,5123,5250,5694,6218,6542,6603,6640,6704,6740,7072,7072
Mie,81,720,742,789,822,883,914,949,963,986,1057,1128,1183,1200,1207,1219,1227,1284,1284
Shiga,67,692,711,774,812,871,905,946,953,981,1031,1121,1167,1179,1191,1197,1201,1248,1248
Kyoto,432,2109,2167,2309,2438,2647,2742,2840,2905,2967,3149,3388,3534,3577,3606,3639,3654,3792,3792
Osaka,660,8820,9047,9635,10114,10793,11249,11589,11771,12085,13136,14337,15014,15186,15282,15387,15464,16105,16105
Hyogo,379,3349,3453,3769,3958,4272,4447,4590,4675,4799,5182,5628,5919,5985,6008,6041,6056,6351,6351
Nara,84,757,777,835,878,941,981,1018,1035,1056,1147,1254,1322,1329,1339,1347,1355,1419,1419
Wakayama,69,735,766,803,850,919,944,1068,1076,1094,1155,1239,1273,1287,1298,1309,1312,1365,1365
Tottori,29,213,223,237,247,261,282,299,302,313,329,347,373,376,379,383,386,401,401
Shimane,58,255,259,287,297,323,333,344,346,357,369,386,402,404,407,414,417,435,435
Okayama,157,1077,1106,1205,1264,1354,1398,1447,1468,1515,1616,1748,1818,1841,1849,1863,1867,1940,1940
Hiroshima,303,1325,1355,1482,1568,1677,1766,1840,1869,1916,2045,2215,2321,2342,2356,2370,2379,2488,2488
Yamaguchi,85,461,469,532,561,610,629,653,662,681,718,751,788,794,796,801,805,836,836
Tokushima,44,412,427,455,471,504,517,529,535,547,586,630,656,658,660,662,664,694,694
Kagawa,68,593,603,657,680,727,756,774,788,803,842,884,904,911,915,923,928,973,973
Ehime,77,650,665,723,751,789,814,838,843,862,907,991,1036,1045,1050,1059,1062,1115,1115
Kochi,67,417,424,448,459,495,509,528,535,549,577,609,627,631,633,635,635,655,655
Fukuoka,670,2884,2965,3233,3415,3776,3939,4383,4445,4559,4908,5288,5540,5609,5641,5688,5710,5924,5924
Saga,68,369,379,406,425,461,470,490,499,511,559,592,613,618,620,625,628,657,657
Nagasaki,171,396,406,455,487,529,546,562,571,590,613,651,676,683,688,691,694,727,727
Kumamoto,141,645,665,718,755,831,948,1042,1052,1085,1141,1209,1264,1286,1294,1304,1308,1386,1386
Oita,132,436,458,497,514,573,602,640,647,659,675,718,751,757,765,769,771,810,810
Miyazaki,65,335,339,480,496,529,544,557,559,577,593,629,660,669,676,677,682,738,738
Kagoshima,219,637,647,708,741,803,820,850,861,884,939,986,1015,1024,1037,1049,1052,1093,1093
Okinawa,144,407,424,470,503,563,591,622,634,657,688,748,803,815,824,832,836,888,888
